review,rating,sentimen,review_clean
"For the first time to the negative feedback Life Give me something less acceptable, but less an order for three things? Tallymen simply just ship it to catch nongnong Told the little things, the results of the seller did not even confirm my order I would also like to once again told little things Promised that will quickly send you a replacement, I had no time to receive results ah Purchased happy to be out of bad Do not buy directly pull the black",1.0,negatif,first time negative feedback life give something less acceptable less order three things tallymen simply ship catch nongnong told little things results seller not even confirm order would also like told little things promised quickly send replacement no time receive results ah purchased happy bad not buy directly pull black
"Fast delivery, easy to use clip is how to understand. Pro shop will again sir. Careful packing",5.0,positif,fast delivery easy use clip understand pro shop sir careful packing
"Dress up one sleeve The fabric is thin, light, unlike the first order.",1.0,negatif,dress one sleeve fabric thin light unlike first order
"rasa enak, ga tengik",5.0,positif,rasa enak tidak tengik
Order 3 but can be 1 je.,1.0,negatif,order je
CMA packingnya seal kebuka..trus already given paper use bubble wrap aja ga ga profit leaked ..,1.0,negatif,cma packingnya seal buka terus already given paper use bubble wrap aja tidak tidak profit leaked
"Wild ginger flower meat and less expensive materials and small pieces of very regret buying please do not buy, buy will definitely regret it! ?????? bad bad quality merchandise value CP",1.0,negatif,wild ginger flower meat less expensive materials small pieces regret buying please not buy buy definitely regret bad bad quality merchandise value cp
Alhamdulillah already come pashmina ceruty babydoll that is in the waiting lounge. Hopefully my customers like the same product in the store and can be subscribed for selling. I like his equally fast delivery and the seller is also very friendly yaa. Do not hesitate to make order here ??,5.0,positif,alhamdulillah already come pashmina ceruty babydoll waiting lounge hopefully customers like product store subscribed selling like equally fast delivery seller also friendly yaa not hesitate make order
"Thin material, zipper macet²an, rich stuff d ... disappointed the market with the price that much ...",1.0,negatif,thin material zipper macet rich stuff disappointed market price much
"The red, but green. But it's the same color he is.",1.0,negatif,red green color
Fast shipment to not have to wait long. Satisfied with the service.,5.0,positif,fast shipment not wait long satisfied service
The product quality is excellent. The original product. The product price is very good. Very good seller response ??????,4.0,positif,product quality excellent original product product price good good seller response
packing standar tanpa bubble wrap. semoga kacangnya renyah. pengiriman cepat,4.0,positif,packing standar bubble wrap moga kacang renyah kirim cepat
Awesome awesome speed of the ship's delivery speed fabulous quality of goods awesome value CP,4.0,positif,awesome awesome speed ship delivery speed fabulous quality goods awesome value cp
"Sorry love his star 2 wrote for not complying with my order, I ask that no F in love no B. So upset I've got nya????",1.0,negatif,sorry love star wrote not complying order ask no love no upset got nya
CP values ??awesome awesome speed of the ship,5.0,positif,cp values awesome awesome speed ship
Very fast delivery. Cheap price. Items sell quickly Good quality,4.0,positif,fast delivery cheap price items sell quickly good quality
Good product quality Good value for money Fast delivery,4.0,positif,good product quality good value money fast delivery
Semuanyaaa Loved it and very helpful. verry recomended,4.0,positif,semua loved helpful verry recomended
Excellent quality Very accommodating seller Excellent quality Very accommodating seller Excellent quality Very accommodating seller Excellent quality,5.0,positif,excellent quality accommodating seller excellent quality accommodating seller excellent quality accommodating seller excellent quality
Little baby fruit,4.0,positif,little baby fruit
Awesome speed of the ship awesome awesome quality merchandise value CP,4.0,positif,awesome speed ship awesome awesome quality merchandise value cp
Item received fast even ships from oversea ! The cable is also well function. Can repeat order with this seller !,4.0,positif,item received fast even ships oversea cable also well function repeat order seller
Enak. Semua suka.,5.0,positif,enak semua suka
"Over time delivery time. 10 new day nyampe, eventually in Batam. slow",1.0,negatif,time delivery time new day nyampe eventually batam slow
K right product as shown but used very ok,2.0,negatif,right product shown used
"Product quality is very good Very good value Speed ??of delivery is very good. The service from the company stores very well. The service is very good Tak transportation companies. Excellent Excellent Excellent Excellent Excellent Excellent Excellent Excellent Just very detailed, very good, very good, very good, very good mg.",4.0,positif,product quality good good value speed delivery good service company stores well service good tak transportation companies excellent excellent excellent excellent excellent excellent excellent excellent detailed good good good good mg
Awesome awesome speed of delivery of goods quality,5.0,positif,awesome awesome speed delivery goods quality
"Baguuuuuussssssss bangettttt, stitching rapiii allhamdulilah puassssss????",5.0,positif,bagus banget stitching rapi allhamdulilah puas
Awesome awesome quality of goods shipped speed,4.0,positif,awesome awesome quality goods shipped speed
"Pretty good product, delivery a bit longer ...",1.0,negatif,pretty good product delivery bit longer
Kaua lipstick paint dry,1.0,negatif,kaua lipstick paint dry
Service by the seller is ok 17day oder side. It can be beautiful.,2.0,negatif,service seller day oder side beautiful
"Fast workmanship good stuff nyesel price is too cheap not to buy here, next I order again tomorrow bwli not regret his many ???? seller jga ramaah Thanks yaa kak I puassss",4.0,positif,fast workmanship good stuff nyesel price cheap not buy next order tomorrow bwli not regret many seller jga ramaah thanks yaa kak puas
brng ditrima keadaan baik.cepat respon.dan pengiriman jg cepat.smg aja rasa nya enak..trima ksh seller.,5.0,positif,brng ditrima ada baik cepat respon kirim jg cepat smg aja rasa nya enak trima ksh seller
Thin material nrawang continue using that dirty clothes no stain so quite a lot,1.0,negatif,thin material nrawang continue using dirty clothes no stain quite lot
The price of the standard product. Delivery time.,2.0,negatif,price standard product delivery time
 Good product quality. Everyone loves them! ,5.0,positif,good product quality everyone loves
Fast delivery and manufactured in May 2020. Nice seller too thanks.,4.0,positif,fast delivery manufactured may nice seller thanks
Very fast delivery to bali ??????,5.0,positif,fast delivery bal
"Fast delivery. Product in good, condition. Quality not bad for the price. Ordered 2 for my nieces coming bd. Thank you. ",4.0,positif,fast delivery product good condition quality not bad price ordered nieces coming bd thank
Do not know what caused the transport or the delivery. I would like to throw a no broken emotions all very well miss out alone.,1.0,negatif,not know caused transport delivery would like throw no broken emotions well miss alone
Alhamdulillah .. Satisfied. Nice shawl. Well. Material is also fine .. .. Thanks sis,5.0,positif,alhamdulillah satisfied nice shawl well material also fine thanks sis
Product quality standards. Product quality standards.,2.0,negatif,product quality standards product quality standards
Cute dress true to pic delivery was fast. Seller prompt with replies. Def buy again.,5.0,positif,cute dress true pic delivery fast seller prompt replies def buy
Excellent product quality excellent product price,5.0,positif,excellent product quality excellent product price
pretty skli,4.0,positif,pretty skli
gk equally distinguished in gmbaar ....,2.0,negatif,tidak equally distinguished gmbaar
thank you thank you thank you thank you thank you,5.0,positif,thank thank thank thank thank
"Sucks, buy less for the first time to send the same goods, promised that the write up orders, and the result for the next single, the supplement did not make up even, and also different from the drain to send goods, buy twice missing three requirements fill I also want to send jumper at the next single to fix bad service ...",1.0,negatif,sucks buy less first time send goods promised write orders result next single supplement not make even also different drain send goods buy twice missing three requirements fill also want send jumper next single fix bad service
Fast delivery and good product quality,4.0,positif,fast delivery good product quality
Missing one item and late reply.... need create the item by myself...,1.0,negatif,missing one item late reply need create item
Has been completed Fast and very sad. Good value very nice. Product quality good Speed ??of delivery is very good.,4.0,positif,completed fast sad good value nice product quality good speed delivery good
Great product ori..tp ad a stick which broke / broken either because apa..tp the others msh bs .. u play nice lah u event berkreasi??????,4.0,positif,great product ori ad stick broke broken either apa others msh play nice lah event kreasi
Goods sent quickly .. ok lah also,1.0,negatif,goods sent quickly lah also
Poor Quality Fair value,2.0,negatif,poor quality fair value
Cars broken buttons,2.0,negatif,cars broken buttons
Product quality is ok Delivery time as expected,2.0,negatif,product quality delivery time expected
Excellent product quality,4.0,positif,excellent product quality
Product quality is temporary!,2.0,negatif,product quality temporary
Items missing,1.0,negatif,items missing
"Rasp rasp, rasp of a nail before nail gel. And styling, nails, etc. Store wrapped very good product Very good value",5.0,positif,rasp rasp rasp nail nail gel styling nails etc store wrapped good product good value
"Pretty clothes, the price is reasonable. Tq",4.0,positif,pretty clothes price reasonable tq
Fast delivery Excellent service by seller...tq for free gift ??????,5.0,positif,fast delivery excellent service seller tq free gift
"sorry yes kak this time I love a 3 star because the product is less dense reason nipple section (milk dripped continuously), so the activity of my child uses a pacifier to drink milk is slightly distorted.",2.0,negatif,sorry yes kak time love star product less dense reason nipple section milk dripped continuously activity child uses pacifier drink milk slightly distorted
"goods misdirected, I pesen B02, B02 The box anyway but it instead B01",2.0,negatif,goods misdirected sen box anyway instead
States not as beautiful as the picture. Place the white flowers that get on the color photos. bored lun,2.0,negatif,states not beautiful picture place white flowers get color photos bored lun
Sorry late confirmation,5.0,positif,sorry late confirmation
"Good Quality, thick skirt ... tska correct size napadal .. ^^ that would always thank u seller!",4.0,positif,good quality thick skirt tska correct size napadal would always thank seller
"Do not lie, I did not force things. . . . . . I bought two, can be deceiving you? Boxes are removed, you can return it I can retire immediately change evaluation",1.0,negatif,not lie not force things bought two deceiving boxes removed return retire immediately change evaluation
"Buy 24 ama 26, who sent 26 Dua2 ..",1.0,negatif,buy ama sent
ok quality for the price. You just put a tissue for extra protection. even okay seam more than the neoprene masks them.,2.0,negatif,quality price put tissue extra protection even okay seam neoprene masks
Fast delivery Excellent service by seller,5.0,positif,fast delivery excellent service seller
"Products delivered fast, consistent quality in every price range, every reason except point is assigned the wrong size M.",1.0,negatif,products delivered fast consistent quality every price range every reason except point assigned wrong size
"Price afforded the themes of great price is a good price, afforded the themes of great price is a good price, afforded the themes of great price is a good price, afforded the themes of. well, the good was good afforded the themes of great price is a good price, afforded the themes of great price is a good price, afforded the themes of great price is a good price Bhubaneswar. the themes of good and bad is good value afforded by themes.",4.0,positif,price afforded themes great price good price afforded themes great price good price afforded themes great price good price afforded themes well good good afforded themes great price good price afforded themes great price good price afforded themes great price good price bhubaneswar themes good bad good value afforded themes
Thank you very much... Sekaliiii fast delivery ... Her book is nice ..,4.0,positif,thank much sekali fast delivery book nice
"Good product, to order. Packing tidy, safe with box. There is nothing broken. Good seller response. Fast delivery. Thanks BYK y ka",4.0,positif,good product order packing tidy safe box nothing broken good seller response fast delivery thanks banyak ka
Awesome awesome speed of the ship merchandise quality awesome awesome CP value of goods quality,4.0,positif,awesome awesome speed ship merchandise quality awesome awesome cp value goods quality
Delivery cpt original product at reasonable prices ...... thx ......,5.0,positif,delivery cpt original product reasonable prices thx
Product quality is very good Very good value Speed ??of delivery is very good. Very good service from the store. The service is great from the carrier.,4.0,positif,product quality good good value speed delivery good good service store service great carrier
One of the 3 wall hanger didnt come with screws.,2.0,negatif,one wall hanger didnt come screws
Received but a too big for my small wrist??,2.0,negatif,received big small wrist
Tp cool slightly nerawang,2.0,negatif,cool slightly nerawang
Awesome awesome speed of the ship's delivery speed fabulous quality of goods,5.0,positif,awesome awesome speed ship delivery speed fabulous quality goods
Very nice Recommendation Fast delivery Goodnquality Its okey thankyou,4.0,positif,nice recommendation fast delivery goodnquality okey thankyou
Pretty good job on hold,5.0,positif,pretty good job hold
Very old looking product/stock. But still works fine ,2.0,negatif,old looking product stock still works fine
Housekeeping is sooo long time,2.0,negatif,housekeeping long time
Steady dah appropriate description,4.0,positif,steady dah appropriate description
The product quality is excellent. The original product. The response is very good seller. Just td problem with gojeknya .. ga want to find home. Maybe his brother tired,4.0,positif,product quality excellent original product response good seller td problem gojek tidak want find home maybe brother tired
Fast delivery Led Light Swich but there are damaged .. Mini Bluetooth Bluetooth speaker xblh .. Somewhat disappointing ..,1.0,negatif,fast delivery led light swich damaged mini bluetooth bluetooth speaker xblh somewhat disappointing
Excellent product quality excellent product price is very good delivery speed is very good seller's response,4.0,positif,excellent product quality excellent product price good delivery speed good seller response
The general speed of the ship general merchandise quality and delivery speed of ordinary common values ??CP,2.0,negatif,general speed ship general merchandise quality delivery speed ordinary common values cp
The response was not good sellers,1.0,negatif,response not good sellers
"Hati2, CON number of seeds does not fit, the amount of net pot is not fit, several times to buy just wrote, AB mix made his own, the goods arrive damaged arguably be in tuker and replaced sis, in fact not, relaxed wrote balikin money midnight hour 1 kayak thief , in chat also was not returned.",1.0,negatif,hati con number seeds not fit amount net pot not fit several times buy wrote ab mix made goods arrive damaged arguably tuker replaced sis fact not relaxed wrote balikin money midnight hour kayak thief chat also not returned
said order was complete! q one ordered two LNG come sirasaira p po box .. di rereply the seller !!!! Site rrequest aq refund wlang nangyre! Remember to q n q in order sau again!,1.0,negatif,said order complete one ordered two lng come sirasaira po box rereply seller site rrequest aq refund wlang nangyre remember order sau
May I close onting box but a lot po ung bubble wrap mganda color Thank you seller,4.0,positif,may close onting box lot po ung bubble wrap mganda color thank seller
selalu enak buat ngopi pagi hari ??,5.0,positif,selalu enak buat ngopi pagi hari
"Dont buy with this seller if you have OCD, the item came with scratches and sticky on the charging case. Box has been open up, unsealed. Poor seller. ",1.0,negatif,buy seller ocd item came scratches sticky charging case box open unsealed poor seller
Bangt lightly goods ... Kayak hair clamp ..,2.0,negatif,bangt lightly goods kayak hair clamp
Sjsjjxnxnemsnnxneksjxbxmz dbenwjsjxbwm as fbf d,2.0,negatif,sjsjjxnxnemsnnxneksjxbxmz dbenwjsjxbwm fbf
"bawangnya enak, sudah repeat order",5.0,positif,bawang enak repeat order
Awesome awesome speed of the ship's delivery speed fabulous quality of goods awesome value CP,5.0,positif,awesome awesome speed ship delivery speed fabulous quality goods awesome value cp
"Original product, cepet delivery, good packaging, the price is okay",5.0,positif,original product cepet delivery good packaging price okay
"Small turns out, is also thin materials, such as rips base but so be it lah hhhhhhhjhhhhhjhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh",2.0,negatif,small turns also thin materials rips base lah hjhjh
"Thank God we have received gan goods,  Product quality is very good  Original Products  The price of the product is very good  Speed ??of delivery is very good  The response is very good seller",5.0,positif,thank god received gan goods product quality good original products price product good speed delivery good response good seller
The product quality is not good.,1.0,negatif,product quality not good
Item shipped 2days late. ,2.0,negatif,item shipped days late
"Seler TUKANG CHEATING! Create many who want to buy a case you should not buy here! FROM 6 total order me, only one who is sent. Brg asked ga at the ready, he said there. Continues to lie already sent. In fact there is no receipt! Hopefully sellernya contact with karma! You liar! Ga blessing lo! If ga ya say there brg",1.0,negatif,seler tukang cheating create many want buy case not buy total order one sent barang asked tidak ready said continues lie already sent fact no receipt hopefully sellernya contact karma liar tidak blessing kamu tidak say barang
Good product quality Good value for money Fast delivery Excellent service by seller Excellent service by seller,4.0,positif,good product quality good value money fast delivery excellent service seller excellent service seller
"Delivery nyampe 1 Week, quality standards, the theme of the hour so so wrote. There's only three choices.",2.0,negatif,delivery nyampe week quality standards theme hour wrote three choices
Quality is not the same sad ????tapi cloth. Let the pictures speak.,1.0,negatif,quality not sad cloth let pictures speak
"Good quality bgt, nyampenya jg cepett, the picture is also nice anyway. Kyknya if you want to print again here definitely does guddd",4.0,positif,good quality banget nyampenya jg cepett picture also nice anyway kyknya want print definitely gud
Soft smooth tebel passable. Packing and fast delivery thanks,4.0,positif,soft smooth tebel passable packing fast delivery thanks
Very good value Speed ??of delivery is very good. The service is great from the carrier. # Put a shirt does not.,4.0,positif,good value speed delivery good service great carrier put shirt not
The product quality is not good,1.0,negatif,product quality not good
But it is very small so do not waste your mood.,1.0,negatif,small not waste mood
Excellent product quality. Voi.Chat product quality excellent product quality excellent. Excellent product quality. Voi.Chat product quality excellent product quality excellent.,5.0,positif,excellent product quality voi chat product quality excellent product quality excellent excellent product quality voi chat product quality excellent product quality excellent
im disappointed. 3rd time here tonorder case gnto yet. ung printed color so his future is ugly. the small size of her as compare to original adidas.,1.0,negatif,im disappointed rd time tonorder case gnto yet ung printed color future ugly small size compare original adidas
kismisnya enak bngt lain kali order lg terima kasih pengiriman juga cepat,5.0,positif,kismis enak bngt kali order lg terima kasih kirim cepat
Just slow him up a bit but it's ok because I am x blame the seller for the season Kingdom so that I get a little slow,2.0,negatif,slow bit blame seller season kingdom get little slow
"Cool but bad quality fabric, thin",1.0,negatif,cool bad quality fabric thin
Item shipped very late Damaged packaging Damaged / Defective item Will not order again,1.0,negatif,item shipped late damaged packaging damaged defective item not order
Poor Quality Poor Quality Fair value Fast delivery Fair.,2.0,negatif,poor quality poor quality fair value fast delivery fair
The response speed is very good delivery very good seller product quality is very good,4.0,positif,response speed good delivery good seller product quality good
Received incomplete items ordered. Seller responded to the refund request after due date. Product quality is good but not recommended seller.,1.0,negatif,received incomplete items ordered seller responded refund request due date product quality good not recommended seller
Item received in good condition. Delivery was delayed due to MCO.,5.0,positif,item received good condition delivery delayed due mco
" The product quality is not good. The plastic material is not firm, not strong. Like rubber. Disappointed.",1.0,negatif,product quality not good plastic material not firm not strong like rubber disappointed
"Orders wrong style, immediately change notes and private information to the seller, the result was no help to change the hard shipments ? Is it so difficult? Are not out of stock, is unwilling to ?? It is not ethical seller",1.0,negatif,orders wrong style immediately change notes private information seller result no help change hard shipments difficult not stock unwilling not ethical seller
" The product quality is not good I bought nyaa nyesel, bli 4 GDA that goes wrong, stlah fan dnndicahs lowbat lmpunyaa gk gk fan dn would die if dlpas dri casnya life, which others also so smuaa ampuun paraah laahh yaa ...",1.0,negatif,product quality not good bought nyaa nyesel bli gda goes wrong stlah fan dnndicahs lowbat lmpunyaa tidak tidak fan dn would die dlpas dri cas life others also smuaa ampuun paraah laahh yaa
"Very poor product quality,very poor service by saller,oder 3 barang sampai just 2 barang..masej saller tapi not respond..very disappointed",1.0,negatif,poor product quality poor service saller oder barang barang masej saller not respond disappointed
"sp uncovered in coated nylon column very carefully, but new opening plastic bags to detect intelligent 2 mouse shit in his bich.vi very afraid of mice should have asked his mother to cast their behalf, in his then rearrange 12 octopus is then detected traces 1 box like rats, opens the show, as shown.",1.0,negatif,sp uncovered coated nylon column carefully new opening plastic bags detect intelligent mouse shit bich vi afraid mice asked mother cast behalf rearrange octopus detected traces box like rats opens show shown
Sellers bit slow response ...,2.0,negatif,sellers bit slow response
Excellent product quality excellent product price is very good delivery speed is very good seller's response,4.0,positif,excellent product quality excellent product price good delivery speed good seller response
"seller responsive, harga bagus, kiriman express. terima kasih bantuanya.",5.0,positif,seller responsive harga bagus kirim express terima kasih bantuanya
"product fit together really good at drawing, his delivery is also cepet really, let alone the seller response was also friendly, guaranteed gaakan regret. Anyway this recommendation for you dehh affordable price is also going to be a really dikantong ???? subscription dehh??",5.0,positif,product fit together really good drawing delivery also cepet really let alone seller response also friendly guaranteed gaakan regret anyway recommendation dehh affordable price also going really kantong subscription dehh
The shop does not match the goods sold.,1.0,negatif,shop not match goods sold
Her night cream meleber other lengket..yg ok,2.0,negatif,night cream leber lengket
Baguuss lucuuuu cool n soft material ....... thanks ......,4.0,positif,baguuss lucu cool soft material thanks
Fabric suitable price. Bright beautiful colors. Careful packing,4.0,positif,fabric suitable price bright beautiful colors careful packing
Speed ??of delivery is very poor. Terrible service from the store.,1.0,negatif,speed delivery poor terrible service store
Products well received. Excited to use.,4.0,positif,products well received excited use
"Eo understand every kind qan fit in your size 34, size 34 k this Kids play was buttoned pants, add 2 burned hands again invited to cai.that button expectations",1.0,negatif,eo understand every kind qan fit size size kids play buttoned pants add burned hands invited cai button expectations
Print is pixelated ,1.0,negatif,print pixelated
OK quality,2.0,negatif,quality
A quick and proper servicing .. Goods survived smpai .. Tq .. Sy give 5?????,4.0,positif,quick proper servicing goods survived smpai tq give
It is rarely a straight arm like a drain. It is a different form to that idea.,2.0,negatif,rarely straight arm like drain different form idea
"Goods in accordance with the price. Daleman ga fan. So new, used 2day already charred spulnya. The second photograph the same new-first dynamo.",2.0,negatif,goods accordance price dalem tidak fan new used day already charred spulnya second photograph new first dynamo
The quality of real goods exceeded expectations .. Excellent .. Build quality bats her T.O.P deh ...,5.0,positif,quality real goods exceeded expectations excellent build quality bats deh
Good product quality,4.0,positif,good product quality
Seller response was ok. Packing safe and quality is also good stuff. Competitive price as well. Sukak was anyway. teruss..sukses subscriptions hopefully can keep ya,5.0,positif,seller response packing safe quality also good stuff competitive price well sukak anyway teruss sukses subscriptions hopefully keep
Steady mantul excellent product quality of products in the original packaging cool neat recomendasi nih friendly Saller cool its fast response mantullllll ??,4.0,positif,steady mantap excellent product quality products original packaging cool neat recomendasi nih friendly saller cool fast response mantap
"Parcel is in good condition ,. I pgkatahi lng of tutu dress somewhat torn. But all in all good quality na xa. I very smooth transaction with the seller. Thanks. ????????",5.0,positif,parcel good condition pgkatahi lng tutu dress somewhat torn good quality na xa smooth transaction seller thanks
"Fast delivery, but unfortunately that does have abrasions of the glass and the glass appear like one can not in perbaikin",1.0,negatif,fast delivery unfortunately abrasions glass glass appear like one not perbaikin
Product quality standards. Thin,2.0,negatif,product quality standards thin
I uuuuh blackforest same message but datengnya listerange same bitch bitch standard product quality.,2.0,negatif,uh blackforest message datengnya listerange bitch bitch standard product quality
Product quality standards. Free standard shipping.,2.0,negatif,product quality standards free standard shipping
Not all of the submissions did not say it was a terrible silence.,1.0,negatif,not submissions not say terrible silence
"mkasiiy packing ditrima rapi, repeat order k 2..ori bwng gor.palu?????",5.0,positif,mkasiiy packing ditrima rapi repeat order ori bwng gor palu
Product quality is ok,2.0,negatif,product quality
"Usually for purchases 350ribu up dapet bonus, skrg mah ga once again ??",2.0,negatif,usually purchases ribu dapet bonus sekarang mah tidak
Excellent product quality excellent product price is very good delivery speed is very good seller's response,5.0,positif,excellent product quality excellent product price good delivery speed good seller response
Good product quality  Good value for money,5.0,positif,good product quality good value money
Missing items left ung blue sea It msg that I d ever seller nireplayan Ignored baa .. Anyway overall fair Was worth the price But sent the correct sna For better transaction Better organization .. Lolzz Haha! Buti na beautiful items If mapapangit bka d I repeat dto,1.0,negatif,missing items left ung blue sea msg ever seller nireplayan ignored baa anyway overall fair worth price sent correct sna better transaction better organization lolzz haha buti na beautiful items mapapangit bka repeat dto
"less communicative seller so that when shipping goods out of tune desideratum and eventually morbidly kepakai.lain x hati2 dlm hrs clear consumer response, because his conduct your store is rated dr comments of customer.bad n no solution ...",1.0,negatif,less communicative seller shipping goods tune desideratum eventually morbidly pakai hati dlm hrs clear consumer response conduct store rated comments customer bad no solution
Poor product quality. Too small plastic baskets. Another with a photo!,1.0,negatif,poor product quality small plastic baskets another photo
There are no goods price,1.0,negatif,no goods price
One star only when you order also am I with n seller check properly before ipadliver and ung color ng d straight when dmating n have a defective item and not ulmilaw icharge I sna nkalubog pin charger and plugged hndi,1.0,negatif,one star order also seller check properly ipadliver ung color ng straight dmating defective item not ulmilaw icharge sna nkalubog pin charger plugged hndi
My son also likes this,5.0,positif,son also likes
"Aq like motive, the fabric smooth, cool, very good seller response, ?? product prices, thanks accordance pesanan??????",5.0,positif,aq like motive fabric smooth cool good seller response product prices thanks accordance pesan
Standard product quality standard product price good delivery Speed ??Response standard seller,2.0,negatif,standard product quality standard product price good delivery speed response standard seller
"Bonekax less flat bangetz contain jd ,, ,,, d pertma x blanja this store ,,,,",2.0,negatif,bonekax less flat bangetz contain jadi pertma blanja store
dus terbuka..,4.0,positif,dus buka
The product quality is excellent. The original product. The product price is very good. Delivery speed is very good. The response is very good seller.,5.0,positif,product quality excellent original product product price good delivery speed good response good seller
"Said non-light, how come there are lights",2.0,negatif,said non light come lights
Very poor product quality,1.0,negatif,poor product quality
Its thin ok lang talaga. But thank you.???????????????????????????????????????????????????????????????????????????? ??????????????????????????????????????????????????????????????????????????????????????????????? ??????????????????????????????????????????????????????????????????????????????????,2.0,negatif,thin lang talaga thank
"Thanks for the goods have arrived, its size misplaced affection written reply, do not fit deh",2.0,negatif,thanks goods arrived size misplaced affection written reply not fit deh
"Overall good anyway,",4.0,positif,overall good anyway
Dateng goods cuman late fill empty cardboard doang Artisan herbal bgt ga mandate jgn rich until there is apt w loss of money ga ga .... how but sin lo BYK  Spot th duit haram,1.0,negatif,dateng goods cuman late fill empty cardboard doang artisan herbal banget tidak mandate jangan rich apt loss money tidak tidak sin kamu banyak spot th duit haram
"Product quality is very good Fun Reads Very good value Speed ??of delivery is very fast. Order today, delivery tomorrow",4.0,positif,product quality good fun reads good value speed delivery fast order today delivery tomorrow
Austria moon r arm broken at shop,2.0,negatif,austria moon arm broken shop
"Original swarovski, very good quality product, delivery also so fast",5.0,positif,original swarovski good quality product delivery also fast
"Pretty good anyway, according to the price, yes pretty lah create a small book mh msuk",2.0,negatif,pretty good anyway according price yes pretty lah create small book mh msuk
"Product quality is very good, work well, wait a little longer, because coming from China. Overall value for money is spent on the product quality is very good, work well, wait a little longer, because coming from China. Overall value for money is spent on the product quality is very good, work well, wait a little longer, because coming from China. Overall value for money is paid it's very good quality product works great for little because I come from China.  ",5.0,positif,product quality good work well wait little longer coming china overall value money spent product quality good work well wait little longer coming china overall value money spent product quality good work well wait little longer coming china overall value money paid good quality product works great little come china
Awesome speed of the ship awesome awesome quality merchandise value CP,4.0,positif,awesome speed ship awesome awesome quality merchandise value cp
There were charred.,1.0,negatif,charred
Dusnya dents all,2.0,negatif,dus dents
The product quality is excellent. Delivery speed is very good. Like bgtttt,4.0,positif,product quality excellent delivery speed good like banget
"Black color message, sent gold and silver color",1.0,negatif,black color message sent gold silver color
Goods arrived but sayank tanduk'a lg ga ada.next more thoroughly before shipping to the customer.,2.0,negatif,goods arrived sayank tanduk lg tidak next thoroughly shipping customer
Excellent product quality excellent product price is very good delivery speed is very good seller's response,4.0,positif,excellent product quality excellent product price good delivery speed good seller response
The product price is very good very good delivery speed pkoknya mantap??????,5.0,positif,product price good good delivery speed pkoknya mantap
"Its scratched and looks over the new darling of the demo. Price is not true And sensitivity shipped The next purchase will not reduce the price of this defendant, darling.",2.0,negatif,scratched looks new darling demo price not true sensitivity shipped next purchase not reduce price defendant darling
Standard product quality standard product price,2.0,negatif,standard product quality standard product price
Item looks not strong enough to hold big pots as per my expectation. Maybe have to enforce the structure.,2.0,negatif,item looks not strong enough hold big pots per expectation maybe enforce structure
Excellent product quality packaging very carefully. ...,4.0,positif,excellent product quality packaging carefully
Package dah sampe customers love tasty chocolate Customers dah repeat order,4.0,positif,package dah sampe customers love tasty chocolate customers dah repeat order
Delivery time as expected ..... old sgt wait until 1 month 3 days of new stuff up,2.0,negatif,delivery time expected old sgt wait month days new stuff
SEBEL BANGEEEET his promiscuous vanilla variant. And already in love Note Also do not let one send Varian Rasa because BEEN SOME WHICH ALSO THAT ANY CONTENT RATING VARIAN SEND HIS TASTE. Yet when there are only a select VARIANT Variant TASTE: *) APEL and vanilla CHOCOLATE FLAVOR LAH SENT PERIOD !!!!!!,1.0,negatif,sebel banget promiscuous vanilla variant already love note also not let one send varian rasa also content rating varian send taste yet select variant variant taste apel vanilla chocolate flavor lah sent period
SUBMISSION VERY very OLD.,1.0,negatif,submission old
No box. Ugly packaging. You're ...,1.0,negatif,no box ugly packaging
"Sometimes it can sometimes can not get out the bullet, finishing body less neat .., writing is made in China but his kuality kiwir kiwir ... which is tolerable for a display aja dah .... Next time buy air guns deh ... Terims Shopee .... ",2.0,negatif,sometimes sometimes not get bullet finishing body less neat writing made china kuality kiwir kiwir tolerable display aja dah next time buy air guns deh terims shopee
Got a close kin to come. Not even if Chinek similarly okay. Extra time came and not responsive to any online seller.,1.0,negatif,got close kin come not even chinek similarly okay extra time came not responsive online seller
Packaging mask rusakk,2.0,negatif,packaging mask rusakk
"Seller ramah, responsif, kripiknya juga enak. Pakai sameday jadi langsung sampai
Harga paling murah disini",5.0,positif,seller ramah responsif kripiknya enak pakai sameday jadi langsung harga paling murah sini
Prodak good quality and price but for less safty packaging. Though already plus bubble wrape for delivery. So broken. Please note its safty. Because goods lead to fractures n rupture. I'm so loss,1.0,negatif,prodak good quality price less safty packaging though already plus bubble wrape delivery broken please note safty goods lead fractures rupture loss
"But relatively thin fabrics okay, ska ung ndi MSE brand, why ung Fantasy brand,",1.0,negatif,relatively thin fabrics okay ska ung ndi mse brand ung fantasy brand
The order was landed well .. thank you very much :)),5.0,positif,order landed well thank much
Excellent product quality excellent product price,5.0,positif,excellent product quality excellent product price
Excellent product quality excellent product price is very good delivery speed is very good seller's response Thanks also his kissproof bonus sis,5.0,positif,excellent product quality excellent product price good delivery speed good seller response thanks also kissproof bonus sis
This material good buy that second time hopefully getting better,4.0,positif,material good buy second time hopefully getting better
The price of the standard product. Product quality standards.,2.0,negatif,price standard product product quality standards
Good ciputnya delivery cuman move jd ga aja old,5.0,positif,good ciputnya delivery cuman move jadi tidak aja old
